# number	english	chinese
1	abandon	拋棄；遺棄
2	abide	忍受；容忍
3	ability	能力；才能
4	able	能；可；會
5	abnormal	不正常的；反常的
6	abroad	在國外；到國外
7	aboard	在（交通工具）上；上（交通工具）在（交通工具）上
8	abolish	廢除；廢止
9	aborigine	土著；原住民
10	abort	流產；夭折；（計畫等）失敗
11	abound	富足；充滿
12	about	在四周；到處關於；對於；在⋯⋯的周圍
13	above	在上面；向上面在⋯⋯上面；優於；勝過
14	above-average	在平均水平以上；超過平均水平
15	abrupt	突然的；唐突的
16	abruptly	突然地；唐突地
17	absence	不在，缺席
18	absent	缺席的，不在場的
19	absolute	純粹的；完全的
20	absolutely	絕對地，完全地
21	absorb	吸收；理解
22	abstract	抽象的；深奧的摘要，抽象派藝術作品
23	absurd	不合理的，荒謬的
24	abundance	豐富；充足
25	abundant	大量的；充足的
26	abuse	濫用；虐待
27	abusive	辱罵的；濫用的
28	academic	學校的；學術的學者；學究
29	academy	學院；大學
30	accelerate	加快；增長
31	accent	口音，腔調強調，著重
32	accept	接受；答應
33	acceptable	可以接受的；令人滿意的
34	acceptance	接受；贊同
35	access	進入；入口使用；接近
36	accessibility	易接近；易受影響
37	accessible	可接近的；可進入的
38	accessory	附件；配件附屬的；輔助的
39	accident	事故；災禍
40	accidental	偶然的；意外的
41	accident-prone	容易受傷的；容易出意外的
42	acclaim	歡呼；喝采
43	acclimatize	使適應新環境
44	accommodate	使適應；使相符
45	accommodation	適應；調節
46	accompany	陪同，伴隨
47	accomplish	完成，實現，達到
48	accomplishment	成就；成績
49	accord	使一致，調解
50	according	相符的；和諧的
51	account	帳目，帳單把⋯⋯視為
52	accountable	應負責任的；可說明的
53	accountant	會計師；會計人員
54	accounting	會計學；結帳
55	accrue	積累；獲得
56	accumulate	累積；積聚
57	accumulation	積累；積聚
58	accuracy	正確；準確
59	accurate	準確的；精確的
60	accuse	控告；譴責
61	accustom	習慣（於）
62	ache	疼痛疼痛；感到痛苦
63	achieve	完成，實現
64	achievement	達成；完成
65	acknowledge	承認
66	acknowledgement	承認；確認；認可
67	acquire	取得；獲得
68	acquisitive	想獲得的；貪得無厭的
69	acquisition	獲得，取得
70	acre	英畝；地產
71	across	橫越，穿過；在⋯⋯那邊橫過
72	act	扮演；做事；見效行為；行動
73	action	行動；行為
74	activate	使活化；使活潑
75	active	活躍的；活潑的；積極的
76	activity	活動；行動
77	actor	演員；行動者
78	actress	女演員
79	actual	實際的；事實上的
80	actually	實際上；真的
81	acute	嚴重的；敏銳的
82	adapt	使適應，使適合
83	adapter	改編者；轉接器
84	add	添加；增加
85	addict	使沉溺；使醉心
86	addiction	沉溺；成癮
87	addictive	成癮的；上癮的
88	addition	加；附加
89	additionally	附加地；同時；此外
90	address	住址；地址向⋯⋯致詞；向⋯⋯發表演說
91	adept	能手；內行
92	adequate	足夠的；適當的
93	adhere	黏附；遵守；堅持
94	adjust	調整；校正
95	adjustment	調整；校正
96	administrate	管理；支配
97	administration	管理；經營；行政
98	administrator	管理人；行政官員
99	admirable	值得讚揚的；令人欽佩的
100	admiration	欽佩；欣賞
101	admire	欽佩；欣賞
102	admit	承認；准許進入
103	admittance	進入；入場許可
104	adolescence	青春期；青少年時期
105	adolescent	青少年的；幼稚的青少年
106	adopt	採取；採納
107	adoption	採納；採用
108	adorn	裝飾；使生色
109	adult	成年人成年的；成熟的
110	advance	前進；進展前進；發展先行的；預先的
111	advanced	在前面的；先進的；開明的
112	advantage	優點；利益有利於；使處於優勢
113	adventure	冒險; 冒險精神
114	adversary	敵手；敵人
115	adverse	反面的；不利的
116	advertise	廣告；公布
117	advertisement	廣告；宣傳
118	advice	勸告；忠告
119	advisable	可取的；適當的
120	advise	勸告；忠告
121	adviser	顧問；勸告者
122	advocate	提倡者；辯護者；律師
123	affair	事件；事務
124	affect	影響；對⋯⋯發生作用
125	affection	愛；情愛
126	affirm	申明；堅稱；證實
127	affirmative	肯定的；表示贊成的
128	affix	貼上；添上；附上
129	afraid	害怕的；恐怕；遺憾
130	after	在⋯之後在⋯之後以後；之後以後的；後部的
131	afternoon	下午；午後
132	after-tax	稅後；淨收的
133	afterward	之後；以後
134	again	再；再一次
135	against	反對；違反
136	age	年齡變老；成熟
137	agency	經銷處；代理機構
138	agenda	待議諸事項；議程
139	agent	代理商；仲介人
140	aggression	侵略
141	aggressive	侵略的；好鬥的
142	agility	敏捷；靈活
143	ago	在⋯⋯以前
144	agree	同意；贊同
145	agreement	同意；協定
146	agricultural	農業的；務農的
147	ahead	在前；向前；預先
148	aid	幫助；救助幫助；救助
149	aim	瞄準；目的
150	air-conditioner	冷氣機
151	aircraft	飛機；飛艇
152	airline	航線；航空公司
153	airport	機場
